strTemplateName,strNameResource,XJDFDescriptiveName,XJDFMediaType,XJDFWidth,XJDFLength,XJDFDimensionsUnit,numPricePerThousand
,#6.75 Regular Envelopes,#6.75 Regular Envelopes,Paper,3.75,6.5,in,27.186
,#6.75 Remittance Envelopes,#6.75 Remittance Envelopes,Paper,3.625,6.5,in,47.28
,#9 Regular Envelopes,#9 Regular Envelopes,Paper,3.88,8.88,in,35.46
,#9 Remittance Envelopes,#9 Remittance Envelopes,Paper,3.875,8.875,in,47.28
#10 Envelope,#10 Reg Env 70# Mohawk Superfine LM,#10 Reg Env 70# Mohawk Superfine LM,Paper,4.125,9.25,in,89
#10 Envelope,#10 Reg Env 70# Mohawk Superfine Online,#10 Reg Env 70# Mohawk Superfine Online,Paper,4.125,9.25,in,180
#10 Envelope,#10 Regular Envelope-60# Opaque,#10 Regular Envelope-60# Opaque,Paper,4.125,9.5,in,35.46
#10 Envelope,#10 Regular Envelope - 70# Cougar Opaque,#10 Regular Envelope - 70# Cougar Opaque,Paper,4.125,9.5,in,47.28
#10 Envelope,#10 Regular Envelope-Classic Crest ABW,#10 Regular Envelope-Classic Crest ABW,Paper,4.125,9.5,in,130.02
#10 Envelope,#10 Regular Envelope - Natural,#10 Regular Envelope - Natural,Paper,4.125,9.5,in,41
#10 Envelope,#10 Regular Envelope - Via Pure White,#10 Regular Envelope - Via Pure White,Paper,4.125,9.5,in,82.74
#10 Envelope,#10 Regular Envelopes - Strathmore,#10 Regular Envelopes - Strathmore,Paper,4.125,9.5,in,121.439
#10 Envelope,#10 Regular Envelopes Classic Columns,#10 Regular Envelopes Classic Columns,Paper,4.125,9.5,in,86
#10 Envelope,#10 Regular Envelope Security Tint w/Peel& Seal,#10 Regular Envelope Security Tint w/Peel& Seal,Paper,4.125,9.25,in,49
#10 Envelope,#10 Regular Security Tint,#10 Regular Security Tint,Paper,4.25,9.5,in,47.28
#10 Envelope,#10 Regular Self Seal Envelopes,#10 Regular Self Seal Envelopes,Paper,4.125,9.5,in,55.909
#10 Envelope,#10 Regulars Envelopes,#10 Regulars Envelopes,Paper,4.125,9.5,in,27.186
#10 Envelope,#10 White Linen Envelope,#10 White Linen Envelope,Paper,4.125,9.5,in,94.56
#10 Envelope,#10 Window Envelope,#10 Window Envelope,Paper,4.125,9.5,in,33.096
#10 Envelope,#24 Classic Laid Baronial Ivory #10 Envelopes,#24 Classic Laid Baronial Ivory #10 Envelopes,Paper,4.125,9.5,in,93.4962
,#120 Silk Cover,#120 Silk Cover,Paper,12,18,in,95.355
2 Part Carbonless,2 Part Carbonless,2 Part Carbonless,Paper,8.5,14,in,39.3
2 Part Carbonless,2 Part Carbonless,2 Part Carbonless,Paper,8.5,11,in,32.505
2 Part Carbonless,2 Part Carbonless,2 Part Carbonless,Paper,11,17,in,75
,2 Part Carbonless w/ perf at top,2 Part Carbonless w/ perf at top,Paper,8.5,11.5,in,46.098
3 part Carbonless,3 part Carbonless,3 part Carbonless,Paper,8.5,11,in,33.8052
3 part Carbonless,3 part Carbonless,3 part Carbonless,Paper,11,17,in,71.511
,3 Part Carbonless w/perf at top,3 Part Carbonless w/perf at top,Paper,8.5,11.5,in,89
,5.5 Square Envelopes,5.5 Square Envelopes,Paper,5.5,5.5,in,106.38
,6 3/4 Regular,6 3/4 Regular,Paper,6.5,3.625,in,27.9543
,6.5x9.5 Booklet Envelopes,6.5x9.5 Booklet Envelopes,Paper,6.5,9.5,in,57.918
,6x9 Catalog Envelopes,6x9 Catalog Envelopes,Paper,6,9,in,41
,8pt C1S Cover,8pt C1S Cover,Paper,23,35,in,224.58
,9 x 12 Catalog Envelope,9 x 12 Catalog Envelope,Paper,9,12,in,87.1134
,9 x 12 Catalog Env Peel and Seal,9 x 12 Catalog Env Peel and Seal,Paper,9,12,in,118.2
,9x12 Booklets,9x12 Booklets,Paper,9,12,in,73.284
,9x12 Cats,9x12 Cats,Paper,9,12,in,85.104
,10 Bank Mylar Tabs,10 Bank Mylar Tabs,Paper,9,11,in,150
,10 Mil Synthetic Never Tear,10 Mil Synthetic Never Tear,Paper,12,18,in,1358.709
10pt C1S Cover,10pt C1S Cover,10pt C1S Cover,Paper,26,40,in,330.96
10pt C1S Cover,10pt C1S Cover,10pt C1S Cover,Paper,25,38,in,307.32
10pt C1S Cover,10pt C1S Cover,10pt C1S Cover,Paper,23,29,in,212.76
10pt C1S Cover,10pt C1S Cover,10pt C1S Cover,Paper,23,35,in,260.04
10pt C1S Cover,10pt C1S Cover,10pt C1S Cover,Paper,20,26,in,165.48
10pt C1S Cover,10pt C1S Cover,10pt C1S Cover,Paper,19,25,in,153.66
10pt C1S Cover,10pt C1S Cover,10pt C1S Cover,Paper,28,40,in,366.42
10pt C1S Cover,10pt C1S Cover,10pt C1S Cover,Paper,13,19,in,106.38
10pt C1S Cover,10pt C1S Cover,10pt C1S Cover,Paper,12,18,in,94.56
10pt C2S Cover,10pt C2S Cover,10pt C2S Cover,Paper,20,26,in,190.302
10pt C2S Cover,10pt C2S Cover,10pt C2S Cover,Paper,19,25,in,171.39
