strTemplateName|strAliasTemplate|strNameResource|XJDFDescriptiveName|XJDFWidth|XJDFLength|XJDFDimensionsUnit|XJDFMediaColorName|numPriceTemplateOrResourcePerThousand
||"Alvin 12""x50yrd Yellow Trace Paper"|"Alvin 12""x50yrd Yellow Trace Paper"|12|1800|in|Yellow|
||"Alvin 14""x50yrd Yellow Trace Paper"|"Alvin 14""x50yrd Yellow Trace Paper"|14|1800|in|Yellow|
||"Alvin 18""x50yrd Yellow Trace Paper"|"Alvin 18""x50yrd Yellow Trace Paper"|18|1800|in|Yellow|
||"Alvin 24""x50yrd Yellow Trace Paper"|"Alvin 24""x50yrd Yellow Trace Paper"|24|1800|in|Yellow|
||"Alvin 30""x50yrd Yellow Trace Paper"|"Alvin 30""x50yrd Yellow Trace Paper"|30|1800|in|Yellow|
||"Alvin 12""x50yrd White Trace Paper"|"Alvin 12""x50yrd White Trace Paper"|12|1800|in|White|
||"Alvin 14""x20yrd White Tarce Paper"|"Alvin 14""x20yrd White Tarce Paper"|14|720|in|White|
||"Alvin 24""x20yrd White Trace Paper"|"Alvin 24""x20yrd White Trace Paper"|24|720|in|White|
||"Alvin 24""x20yrd Yellow Trace"|"Alvin 24""x20yrd Yellow Trace"|24|720|in|Yellow|
||"36""x500' Rolls White 20# Bond 3"" core"|"36""x500' Rolls White 20# Bond 3"" core"|36|6000|in|White|
||"30""x500' Rolls White 20# Bond 3"" core"|"30""x500' Rolls White 20# Bond 3"" core"|30|6000|in|White|
||"24""x500' Rolls White 20# Bond 3"" core"|"24""x500' Rolls White 20# Bond 3"" core"|24|6000|in|White|
||"22""x500' Rolls White 20# Bond 3"" core"|"22""x500' Rolls White 20# Bond 3"" core"|22|6000|in|White|
||"18""x500' Rolls White 20# Bond 3"" core"|"18""x500' Rolls White 20# Bond 3"" core"|18|6000|in|White|
||"17""x500' Rolls White 20# Bond 3"" core"|"17""x500' Rolls White 20# Bond 3"" core"|17|6000|in|White|
||"15""x500' Rolls White 20# Bond 3"" core"|"15""x500' Rolls White 20# Bond 3"" core"|15|6000|in|White|
||"22""x150' Rolls White 20# Bond 2"" core"|"22""x150' Rolls White 20# Bond 2"" core"|22|1800|in|White|
||"24""x150' Rolls White 20# Bond 2"" core"|"24""x150' Rolls White 20# Bond 2"" core"|24|1800|in|White|
||"30""x150' Rolls White 20# Bond 2"" core"|"30""x150' Rolls White 20# Bond 2"" core"|30|1800|in|White|
||"36""x150' Rolls White 20# Bond 2"" core"|"36""x150' Rolls White 20# Bond 2"" core"|36|1800|in|White|
||"42""x150' Rolls White 20# Bond 2"" core"|"42""x150' Rolls White 20# Bond 2"" core"|42|1800|in|White|
||"24""x150' Rolls HP Bright White IJ Paper 24#"|"24""x150' Rolls HP Bright White IJ Paper 24#"|24|1800|in||
||"24""x100' Rolls HP Heavyweight Coated Bond 35#"|"24""x100' Rolls HP Heavyweight Coated Bond 35#"|24|1200|in||
||"30""x300' Rolls 35# Presentation Matte Paper"|"30""x300' Rolls 35# Presentation Matte Paper"|30|3600|in||
||"36""x150"" Rolls HP Coated Paper 24# Bond"|"36""x150"" Rolls HP Coated Paper 24# Bond"|36|1800|in||
||"36""x300"" Rolls HP Bright White IJ Paper 24#"|"36""x300"" Rolls HP Bright White IJ Paper 24#"|36|3600|in||
||"36""x100' Rolls HP Heavyweight Coated Paper 35#"|"36""x100' Rolls HP Heavyweight Coated Paper 35#"|36|1200|in||
||"42""x150' Rolls HP Universal Coated Paper 24#"|"42""x150' Rolls HP Universal Coated Paper 24#"|42|1800|in||
||"42""x150' Rolls HP Heavyweight Coated Paper 35#"|"42""x150' Rolls HP Heavyweight Coated Paper 35#"|42|1800|in||
||"42""x50' Rolls HP Professional Matte Canvas"|"42""x50' Rolls HP Professional Matte Canvas"|42|600|in||
||"36""x100' Rolls HP Universal Satin Photo Paper"|"36""x100' Rolls HP Universal Satin Photo Paper"|36|1200|in||
||"42""x100' Rolls HP Premium Instant Dry Satin Photo"|"42""x100' Rolls HP Premium Instant Dry Satin Photo"|42|1200|in||
