strTemplateName|strAliasTemplate|strNameResource|XJDFDescriptiveName|XJDFMediaType|XJDFWidth|XJDFLength|XJDFDimensionsUnit|XJDFWeight|XJDFMediaColorName|XJDFTexture|XJDFThickness|XJDFThicknessUnit|numPriceTemplateOrResourcePerThousand
||20# Capitol Bond|20# Capitol Bond|Paper|35|22.5|in|84|White|Light Cockle|0.005|point|331.07
||24# Classic Crest Writing|24# Classic Crest Writing|Paper|35|23|in|103|Solar White|Smooth|0.004|point|262.65
||24# Classic Linen Writing|24# Classic Linen Writing|Paper|35|23|in|103|Solar White|Linen|0.004|point|326.65
||24# Strathmore Writing Wove|24# Strathmore Writing Wove|Paper|35|23|in|103|Bright White|Wove|0.005|point|348.83
||24# Strathmore Writing Wove|24# Strathmore Writing Wove|Paper|23|35|in|103|Bright White|Wove|0.005|point|492.3
||24# Strathmore Writing Wove|24# Strathmore Writing Wove|Paper|38|25|in|122|Bright White|Wove|0.005|point|388.75
||20# 2 NCR Superior Precollated|20# 2 NCR Superior Precollated|Paper|8.5|14|in|26|Canary/White|Bond|||51.7
||20# 2 NCR Superior Precollated|20# 2 NCR Superior Precollated|Paper|11|17|in|40|Canary/White|Bond|||80.5
20# 2 NCR Superior Precollated|A|||Paper|8.5|11|in|20||Bond|||40.65
||20# 2 NCR Superior Precollated - Pink/White|20# 2 NCR Superior Precollated - Pink/White|{A}|{A}|{A}|{A}|{A}|Pink/White|{A}|||{A}
||20# 2 NCR Superior Precollated - Canary/White|20# 2 NCR Superior Precollated - Canary/White|{A}|{A}|{A}|{A}|{A}|Canary/White|{A}|||{A}
||20# 5 NCR Superior Precollated|20# 5 NCR Superior Precollated|Paper|8.5|11|in|50|Gold/Pink/Canary/Green/White|Bond|||125.55
||20# 3 NCR Superior Precollated|20# 3 NCR Superior Precollated|Paper|8.5|11|in|30|Pink/Canary/White|Bond|||68.55
||20# 3 NCR Superior Precollated|20# 3 NCR Superior Precollated|Paper|11|17|in|30|Pink/Canary/White|Bond|||136.1
