strTemplateName|strNameResource|XJDFDescriptiveName|XJDFMediaColorName|XJDFMediaType|XJDFStockType|XJDFWeight|XJDFWidth|XJDFLength|XJDFDimensionsUnit|boolPriceTemplate|numPriceTemplateOrResourcePerThousand
|20# 14 7/8 x 11|20# 14 7/8 x 11||Paper|75 G/M2 -  20# Bond|75|14|11|in||75
|20# 9.5 x 11|20# 9.5 x 11||Paper|75 G/M2 -  20# Bond|75|9.5|11|in||16.72
|20# Copy Paper|20# Copy Paper||Paper|75 G/M2 -  20# Bond|75|8.5|11|in||5.97
|20# Navigator Premium Copy Paper|20# Navigator Premium Copy Paper||Paper|75 G/M2 -  20# Bond|75|8.5|11|in||9.42
|20# 3 Hole Transcend Paper|20# 3 Hole Transcend Paper||Paper|75 G/M2 -  20# Bond|75|8.5|11|in||7.5
20# Bond|20# Blue|20# Blue|Blue|Paper|75 G/M2 -  20# Bond|75|8.5|11|in|1|15.34
20# Bond|20# Canary|20# Canary|Canary|Paper|75 G/M2 -  20# Bond|75|8.5|11|in|1|15.34
20# Bond|20# Cream|20# Cream|Cream|Paper|75 G/M2 -  20# Bond|75|8.5|11|in|1|15.34
20# Bond|20# Cherry|20# Cherry|Cherry|Paper|75 G/M2 -  20# Bond|75|8.5|11|in|1|15.34
20# Bond|20# Goldenrod|20# Goldenrod|Goldenrod|Paper|75 G/M2 -  20# Bond|75|8.5|11|in|1|15.34
20# Bond|20# Salmon|20# Salmon|Salmon|Paper|75 G/M2 -  20# Bond|75|8.5|11|in|1|15.34
20# Bond|20# Gray|20# Gray|Gray|Paper|75 G/M2 -  20# Bond|75|8.5|11|in|1|15.34
20# Bond|20# Green|20# Green|Green|Paper|75 G/M2 -  20# Bond|75|8.5|11|in|1|15.34
20# Bond|20# Ivory|20# Ivory|Ivory|Paper|75 G/M2 -  20# Bond|75|8.5|11|in|1|15.34
20# Bond|20# Buff|20# Buff|Buff|Paper|75 G/M2 -  20# Bond|75|8.5|11|in|1|15.34
20# Bond|20# Orchid|20# Orchid|Orchid|Paper|75 G/M2 -  20# Bond|75|8.5|11|in|1|15.34
20# Bond|20# Pink|20# Pink|Pink|Paper|75 G/M2 -  20# Bond|75|8.5|11|in|1|15.34
20# Bond|20# Tan|20# Tan|Tan|Paper|75 G/M2 -  20# Bond|75|8.5|11|in|1|15.34
|20# White Transcend|20# White Trans163 G/M2 - 90 # Indexcend|White|Paper|75 G/M2 -  20# Bond|75|8.5|14|in||9.25
20# Bond|20# Canary|20# Canary|Canary|Paper|75 G/M2 -  20# Bond|75|8.5|14|in|1|19.3
20# Bond|20# Goldenrod|20# Goldenrod|Goldenrod|Paper|75 G/M2 -  20# Bond|75|8.5|14|in|1|19.3
20# Bond|20# Pastel Blue|20# Pastel Blue|Pastel Blue|Paper|75 G/M2 -  20# Bond|75|8.5|14|in|1|19.3
